Format Version,1.22,Take Name,Section1 No4,Capture Frame Rate,256,Export Frame Rate,256,Capture Start Time,2019-12-12 06.03.40.923 ÂçàÂæ?Total Frames in Take,33126,Total Exported Frames,33126,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Glob,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,,,,,,,,,,,,,,,,,,
,,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,C5640,C5640,C5640,C5690,C5690,C5690,C56A0,C56A0,C56A0,C56C0,C56C0,C56C0,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,
0,0,0.00011,-4.30E-05,-5.00E-05,-1,-48.237274,-3.979832,31.652462,0.013061,-98.898735,-4.357806,81.063423,0.997241,1.859844,-3.852118,82.829681,0.997099,2.241999,-3.629016,-17.273586,0.994958,-98.152214,-4.080389,-20.009674,0.997641,-98.898521,-4.366711,81.059029,1.866588,-3.8486,82.821274,2.230257,-3.624849,-17.259743,-98.146652,-4.071727,-20.008604,,,,,,,,,,,,,,,,,,
1,0.003906,1.20E-05,-3.00E-05,-6.10E-05,-1,-48.224644,-4.302105,31.540855,0.012647,-98.887398,-4.69078,80.950409,0.996927,1.871135,-4.183337,82.719414,0.996152,2.255905,-3.940687,-17.383802,0.996223,-98.138229,-4.393619,-20.122602,0.99805,-98.889633,-4.69872,80.949677,1.883489,-4.184553,82.712059,2.246953,-3.936603,-17.368893,-98.139214,-4.38763,-20.130001,,,,,,,,,,,,,,,,,,
2,0.007813,7.60E-05,-4.20E-05,4.80E-05,-1,-48.22863,-4.829412,31.572268,0.0091,-98.890198,-5.200783,80.98317,0.998027,1.868475,-4.715056,82.749527,0.996803,2.25075,-4.485196,-17.353718,0.998154,-98.143547,-4.916615,-20.089903,0.997916,-98.891289,-5.2049,80.979958,1.880417,-4.718536,82.749405,2.248566,-4.483195,-17.34586,-98.151024,-4.911275,-20.095243,,,,,,,,,,,,,,,,,,
3,0.011719,0.00016,-4.70E-05,1.00E-06,-1,-48.235981,-3.695048,31.63397,0.010607,-98.897057,-4.062848,81.04541,0.997685,1.861598,-3.567348,82.810738,0.997826,2.242897,-3.354339,-17.292559,0.995304,-98.151382,-3.795659,-20.027716,0.998578,-98.895012,-4.06495,81.042923,1.868636,-3.569817,82.804276,2.231256,-3.344121,-17.278606,-98.147789,-3.794813,-20.031841,,,,,,,,,,,,,,,,,,
4,0.015625,1.00E-05,-5.50E-05,9.00E-06,-1,-48.221184,-4.925158,31.505402,0.01678,-98.881508,-5.306891,80.917511,0.996394,1.877181,-4.813622,82.68145,0.994097,2.25696,-4.570656,-17.421789,0.997546,-98.137375,-5.009461,-20.155546,0.995183,-98.885979,-5.312903,80.915848,1.899247,-4.81846,82.683517,2.255899,-4.572698,-17.410244,-98.151024,-4.999585,-20.167154,,,,,,,,,,,,,,,,,,
5,0.019531,6.90E-05,-3.60E-05,-8.10E-05,-1,-48.241814,-4.156454,31.642363,0.010821,-98.903938,-4.541526,81.052589,0.99764,1.854595,-4.029904,82.820297,0.997717,2.238117,-3.798589,-17.282959,0.995215,-98.156021,-4.255795,-20.02047,0.998607,-98.899208,-4.550157,81.048058,1.858264,-4.028624,82.81237,2.22861,-3.791861,-17.267696,-98.1548,-4.249797,-20.021662,,,,,,,,,,,,,,,,,,
6,0.023438,2.10E-05,-3.30E-05,-4.40E-05,-1,-48.228619,-4.115124,31.558826,0.011868,-98.891045,-4.501222,80.968735,0.997196,1.86751,-3.997067,82.737045,0.995549,2.251618,-3.756268,-17.366175,0.996597,-98.142548,-4.205941,-20.104292,0.998791,-98.894806,-4.502866,80.967377,1.881294,-4.005682,82.726906,2.247531,-3.75008,-17.349657,-98.147522,-4.201759,-20.109291,,,,,,,,,,,,,,,,,,
7,0.027344,5.60E-05,-3.90E-05,2.50E-05,-1,-48.230621,-4.951292,31.548046,0.012659,-98.892563,-5.326946,80.958542,0.997143,1.866095,-4.836711,82.7257,0.995247,2.249114,-4.602821,-17.377541,0.997572,-98.145142,-5.038691,-20.114511,0.997379,-98.896431,-5.329504,80.954391,1.884103,-4.845026,82.724609,2.245817,-4.598375,-17.366335,-98.154495,-5.033141,-20.120802,,,,,,,,,,,,,,,,,,
8,0.03125,0.00018,-4.30E-05,-4.30E-05,-1,-48.244968,-3.693433,31.648277,0.012296,-98.906418,-4.063707,81.059311,0.997448,1.852181,-3.55923,82.825462,0.996913,2.234295,-3.350246,-17.27784,0.995352,-98.159927,-3.80055,-20.013813,0.997991,-98.905708,-4.06635,81.055336,1.858419,-3.561304,82.815262,2.225934,-3.34178,-17.263233,-98.156364,-3.795308,-20.011961,,,,,,,,,,,,,,,,,,
9,0.035156,5.30E-05,-5.70E-05,-2.50E-05,-1,-48.225147,-4.793565,31.503052,0.012526,-98.885262,-5.174553,80.915359,0.996839,1.873389,-4.674219,82.678902,0.995171,2.252802,-4.43978,-17.424349,0.999105,-98.14151,-4.885707,-20.157717,0.99636,-98.893005,-5.175435,80.916061,1.89303,-4.679479,82.681641,2.251347,-4.441687,-17.418522,-98.149246,-4.879912,-20.166613,,,,,,,,,,,,,,,,,,
10,0.039063,8.50E-05,-2.40E-05,-6.20E-05,-1,-48.239723,-4.345851,31.62735,0.014717,-98.903046,-4.727417,81.036392,0.997199,1.85547,-4.219592,82.80645,0.996356,2.241384,-3.991472,-17.29678,0.99397,-98.15271,-4.444926,-20.036667,0.997758,-98.90329,-4.732798,81.033318,1.863311,-4.223724,82.794861,2.228031,-3.980063,-17.278879,-98.146576,-4.443578,-20.037914,,,,,,,,,,,,,,,,,,
11,0.042969,7.10E-05,-2.80E-05,-3.60E-05,-1,-48.233551,-3.937899,31.577114,0.010932,-98.896515,-4.318176,80.986511,0.997631,1.862027,-3.815633,82.755867,0.996295,2.247214,-3.584811,-17.34738,0.995846,-98.146919,-4.032976,-20.086531,0.999296,-98.89949,-4.321822,80.986145,1.871421,-3.820987,82.742188,2.241754,-3.579333,-17.330097,-98.147003,-4.028743,-20.089138,,,,,,,,,,,,,,,,,,
12,0.046875,3.30E-05,-3.70E-05,9.00E-06,-1,-48.230511,-5.023924,31.527109,0.013633,-98.892586,-5.403418,80.937431,0.997182,1.866035,-4.910031,82.704933,0.994934,2.249367,-4.67164,-17.398302,0.997868,-98.144859,-5.110606,-20.135603,0.996383,-98.901108,-5.403397,80.936142,1.885281,-4.91764,82.703949,2.252406,-4.674405,-17.390783,-98.156441,-5.102103,-20.14085,,,,,,,,,,,,,,,,,,
13,0.050781,0.000217,-2.80E-05,-2.40E-05,-1,-48.247925,-3.751477,31.658005,0.014704,-98.910828,-4.116227,81.067596,0.997366,1.847744,-3.61548,82.836639,0.996734,2.232775,-3.413771,-17.266672,0.993801,-98.161385,-3.86043,-20.005531,0.997396,-98.907372,-4.120059,81.063766,1.85232,-3.616583,82.82547,2.219858,-3.401116,-17.248735,-98.155319,-3.856847,-20.005543,,,,,,,,,,,,,,,,,,
14,0.054688,6.90E-05,-5.20E-05,3.00E-06,-1,-48.229679,-4.622914,31.508558,0.013551,-98.890259,-4.999572,80.920425,0.996547,1.868408,-4.504714,82.68486,0.995298,2.248723,-4.273435,-17.418404,0.997846,-98.145576,-4.713937,-20.152651,0.996758,-98.893585,-5.003738,80.922523,1.884103,-4.508097,82.682747,2.243906,-4.271244,-17.405611,-98.152122,-4.708941,-20.16456,,,,,,,,,,,,,,,,,,
15,0.058594,8.00E-05,-4.70E-05,3.00E-06,-1,-48.242508,-4.532937,31.60721,0.013211,-98.903549,-4.90853,81.018608,0.997028,1.855094,-4.413653,82.783981,0.996655,2.236355,-4.184512,-17.319281,0.994656,-98.157928,-4.625052,-20.054466,0.998449,-98.902245,-4.914117,81.015533,1.865141,-4.419521,82.774872,2.224377,-4.173173,-17.300844,-98.157082,-4.623883,-20.060118,,,,,,,,,,,,,,,,,,
16,0.0625,0.000118,-3.80E-05,-2.40E-05,-1,-48.242783,-3.799641,31.600002,0.011274,-98.904778,-4.174044,81.010445,0.997438,1.853816,-3.673746,82.77774,0.996946,2.237022,-3.452377,-17.325527,0.995315,-98.157181,-3.898396,-20.062645,0.999026,-98.90554,-4.173316,81.007408,1.863361,-3.683435,82.767944,2.227859,-3.439917,-17.309071,-98.15538,-3.899864,-20.064617,,,,,,,,,,,,,,,,,,
17,0.066406,1.00E-05,-3.50E-05,-2.00E-06,-1,-48.228962,-5.034057,31.509377,0.014449,-98.891205,-5.41697,80.919502,0.997019,1.867406,-4.921471,82.687378,0.994334,2.251089,-4.67838,-17.41584,0.997297,-98.14312,-5.119405,-20.153522,0.996901,-98.90033,-5.412492,80.919495,1.887135,-4.935131,82.681068,2.252426,-4.674569,-17.402855,-98.152863,-5.116234,-20.159115,,,,,,,,,,,,,,,,,,
18,0.070313,0.000206,-1.80E-05,-6.40E-05,-1,-48.251118,-3.867792,31.65444,0.017326,-98.914993,-4.237663,81.062988,0.997153,1.84349,-3.728915,82.834091,0.996137,2.230551,-3.52499,-17.269201,0.993011,-98.163513,-3.979599,-20.01012,0.996373,-98.910934,-4.242162,81.060036,1.845666,-3.728821,82.822372,2.214912,-3.510805,-17.251163,-98.15316,-3.978342,-20.009495,,,,,,,,,,,,,,,,,,
19,0.074219,2.60E-05,-4.70E-05,-2.50E-05,-1,-48.236256,-4.428315,31.523403,0.013252,-98.897316,-4.812084,80.934731,0.996701,1.861311,-4.311737,82.700218,0.995643,2.242625,-4.071776,-17.403013,0.996526,-98.151634,-4.517663,-20.138311,0.997879,-98.905273,-4.813989,80.936562,1.876348,-4.316944,82.691521,2.233838,-4.066734,-17.389318,-98.149437,-4.514508,-20.144384,,,,,,,,,,,,,,,,,,
20,0.078125,9.80E-05,-4.70E-05,-2.30E-05,-1,-48.24247,-4.714178,31.586252,0.012216,-98.903564,-5.090498,80.997604,0.996943,1.85506,-4.590463,82.763077,0.99628,2.236441,-4.365016,-17.340187,0.996866,-98.157806,-4.810734,-20.075493,0.997693,-98.907104,-5.093528,80.996559,1.869027,-4.596239,82.75956,2.22667,-4.358078,-17.328718,-98.157608,-4.809618,-20.082594,,,,,,,,,,,,,,,,,,
21,0.082031,0.000197,-2.90E-05,-3.60E-05,-1,-48.246861,-3.710537,31.622347,0.011814,-98.909668,-4.078384,81.032005,0.997862,1.848888,-3.57537,82.800896,0.997125,2.233744,-3.369757,-17.302404,0.995183,-98.1604,-3.818636,-20.041115,0.998016,-98.909576,-4.078098,81.031509,1.854735,-3.5797,82.791199,2.223074,-3.358865,-17.288399,-98.154243,-3.819799,-20.043875,,,,,,,,,,,,,,,,,,
22,0.085938,1.40E-05,-5.40E-05,1.40E-05,-1,-48.23246,-4.982265,31.501562,0.015296,-98.892868,-5.363221,80.913589,0.996458,1.865823,-4.870802,82.677689,0.994208,2.245765,-4.628537,-17.425549,0.997881,-98.148552,-5.066502,-20.159468,0.996157,-98.902252,-5.36298,80.916405,1.886281,-4.878649,82.674072,2.245871,-4.629727,-17.413883,-98.157372,-5.059751,-20.168806,,,,,,,,,,,,,,,,,,
23,0.089844,0.000127,-3.00E-05,-7.00E-05,-1,-48.253555,-4.02552,31.647644,0.015471,-98.91626,-4.403723,81.057327,0.997558,1.842268,-3.894088,82.826141,0.995456,2.226949,-3.674464,-17.277132,0.994384,-98.167168,-4.129805,-20.015755,0.997132,-98.917267,-4.408205,81.055626,1.846856,-3.895388,82.810165,2.218577,-3.666867,-17.259077,-98.160767,-4.123211,-20.012424,,,,,,,,,,,,,,,,,,
24,0.09375,5.00E-05,-3.90E-05,-9.00E-05,-1,-48.240788,-4.230499,31.542149,0.012897,-98.902565,-4.618403,80.952705,0.996717,1.855958,-4.104906,82.719734,0.99536,2.238799,-3.869826,-17.383501,0.997034,-98.15535,-4.328862,-20.120348,0.997991,-98.909691,-4.616284,80.955734,1.870486,-4.114318,82.709564,2.233436,-3.86298,-17.368692,-98.15638,-4.329212,-20.128408,,,,,,,,,,,,,,,,,,
25,0.097656,8.30E-05,-5.60E-05,-3.00E-05,-1,-48.243298,-4.866309,31.562403,0.010892,-98.903481,-5.244885,80.974686,0.997047,1.855183,-4.743405,82.738312,0.995771,2.234694,-4.514909,-17.36496,0.998535,-98.159599,-4.962037,-20.09841,0.997756,-98.909462,-5.247459,80.974548,1.871166,-4.748336,82.736839,2.22954,-4.512794,-17.355829,-98.1632,-4.957886,-20.10619,,,,,,,,,,,,,,,,,,
26,0.101563,0.000221,-3.00E-05,-6.20E-05,-1,-48.254494,-3.677339,31.636387,0.01003,-98.917229,-4.045477,81.04612,0.998354,1.841307,-3.537059,82.814873,0.997461,2.226043,-3.336255,-17.288435,0.995865,-98.168091,-3.790565,-20.027016,0.998291,-98.916733,-4.049662,81.045143,1.846119,-3.535348,82.806526,2.217341,-3.330731,-17.276735,-98.162247,-3.785488,-20.027761,,,,,,,,,,,,,,,,,,
27,0.105469,-1.10E-05,-6.20E-05,-1.70E-05,-1,-48.235329,-4.874912,31.501888,0.015523,-98.894882,-5.261405,80.914749,0.995962,1.863804,-4.762938,82.67717,0.994277,2.242051,-4.51568,-17.426054,0.997916,-98.152298,-4.959622,-20.158306,0.996321,-98.905724,-5.258558,80.919106,1.884285,-4.772112,82.67318,2.241858,-4.516115,-17.41555,-98.159081,-4.955365,-20.167913,,,,,,,,,,,,,,,,,,
28,0.109375,0.00011,-2.40E-05,-9.60E-05,-1,-48.249763,-4.210768,31.635233,0.016039,-98.91301,-4.593343,81.044334,0.996764,1.845472,-4.078512,82.814293,0.996155,2.231277,-3.855368,-17.288961,0.994125,-98.162796,-4.315851,-20.028728,0.996917,-98.913727,-4.598305,81.039139,1.852704,-4.082015,82.802521,2.218824,-3.845031,-17.272675,-98.155708,-4.312208,-20.026159,,,,,,,,,,,,,,,,,,
29,0.113281,4.10E-05,-4.10E-05,-7.40E-05,-1,-48.244644,-4.04305,31.562515,0.011779,-98.906288,-4.430173,80.973221,0.997372,1.852267,-3.920046,82.739952,0.995922,2.234809,-3.68316,-17.363283,0.995874,-98.159363,-4.138822,-20.099827,0.999053,-98.911827,-4.429867,80.973831,1.863271,-3.928773,82.72554,2.228823,-3.675679,-17.346325,-98.158318,-4.137136,-20.102781,,,,,,,,,,,,,,,,,,
30,0.117188,4.80E-05,-5.10E-05,3.00E-06,-1,-48.243641,-4.969154,31.543243,0.010367,-98.904282,-5.347789,80.955032,0.997451,1.854379,-4.853095,82.71962,0.995677,2.23482,-4.617717,-17.383642,0.998909,-98.159477,-5.058016,-20.118032,0.997596,-98.912422,-5.34559,80.955162,1.871207,-4.861923,82.718307,2.233519,-4.615763,-17.376574,-98.165062,-5.05524,-20.12352,,,,,,,,,,,,,,,,,,
31,0.121094,0.000187,-3.60E-05,-3.10E-05,-1,-48.257881,-3.702126,31.648714,0.011209,-98.920029,-4.070498,81.059052,0.998619,1.838561,-3.56845,82.826591,0.997109,2.222069,-3.36083,-17.276712,0.995581,-98.172112,-3.808726,-20.014078,0.997482,-98.919312,-4.06898,81.060158,1.840586,-3.569147,82.816315,2.213154,-3.351192,-17.265177,-98.163567,-3.808475,-20.014261,,,,,,,,,,,,,,,,,,
32,0.125,1.30E-05,-6.40E-05,2.10E-05,-1,-48.23914,-4.727973,31.508039,0.014681,-98.898544,-5.1082,80.921089,0.996762,1.86019,-4.617343,82.683144,0.994795,2.238095,-4.374971,-17.420092,0.997599,-98.156288,-4.811377,-20.151976,0.996164,-98.907043,-5.107436,80.923111,1.878413,-4.62458,82.680252,2.240964,-4.377295,-17.41021,-98.166336,-4.804356,-20.159575,,,,,,,,,,,,,,,,,,
33,0.128906,7.20E-05,-3.10E-05,-4.60E-05,-1,-48.253342,-4.405203,31.619188,0.013616,-98.915932,-4.786462,81.028969,0.997372,1.842622,-4.281728,82.797554,0.996567,2.227049,-4.051136,-17.305687,0.994394,-98.167107,-4.501487,-20.044085,0.99805,-98.915688,-4.791353,81.028328,1.849537,-4.285458,82.785187,2.215621,-4.041386,-17.287603,-98.162415,-4.500075,-20.048386,,,,,,,,,,,,,,,,,,
34,0.132813,8.90E-05,-4.20E-05,-7.60E-05,-1,-48.248676,-3.883787,31.585756,0.011815,-98.910164,-4.266384,80.996658,0.997741,1.8484,-3.75569,82.763023,0.997002,2.230622,-3.528377,-17.340231,0.995387,-98.163559,-3.984696,-20.07642,0.998055,-98.90918,-4.267792,80.999146,1.852477,-3.760485,82.750534,2.222827,-3.518889,-17.323893,-98.160065,-3.986257,-20.082321,,,,,,,,,,,,,,,,,,
35,0.136719,1.90E-05,-5.60E-05,3.00E-06,-1,-48.24239,-5.018518,31.527039,0.012835,-98.902542,-5.400082,80.939323,0.996976,1.856152,-4.905435,82.702904,0.994881,2.235573,-4.66418,-17.400331,0.998509,-98.158745,-5.104375,-20.133738,0.996799,-98.911133,-5.398072,80.939873,1.875495,-4.914743,82.701607,2.234836,-4.662704,-17.391251,-98.166199,-5.10059,-20.141298,,,,,,,,,,,,,,,,,,
