Format Version,1.22,Take Name,Section1 No2,Capture Frame Rate,256,Export Frame Rate,256,Capture Start Time,2019-12-12 06.12.38.256 ÂçàÂæ?Total Frames in Take,33131,Total Exported Frames,33131,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Glob,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,,,,,,,,,,,,,,,,,,
,,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,C5780,C5780,C5780,C5760,C5760,C5760,C5750,C5750,C5750,C5770,C5770,C5770,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,
0,0,0.000181,6.30E-05,-0.000127,-1,-48.214279,-2.685483,31.639931,0.07104,-98.886162,-3.064245,81.040207,0.984173,1.871977,-2.542852,82.827759,0.982423,2.275318,-2.333839,-17.275463,0.970333,-98.118248,-2.800997,-20.03277,0.992031,-98.871773,-3.094023,81.016281,1.922774,-2.577832,82.78476,2.207155,-2.262376,-17.171658,-98.120804,-2.80084,-20.062958,,,,,,,,,,,,,,,,,,
1,0.003906,0.000178,7.60E-05,-0.000119,-1,-48.227386,-2.617245,31.6451,0.07239,-98.90049,-2.995472,81.044121,0.983996,1.857612,-2.475666,82.834152,0.982614,2.263423,-2.266135,-17.269053,0.969042,-98.130074,-2.731707,-20.02883,0.991958,-98.882881,-3.032131,81.017441,1.90775,-2.506947,82.791451,2.191545,-2.194192,-17.162645,-98.131775,-2.728987,-20.059004,,,,,,,,,,,,,,,,,,
2,0.007813,0.000271,7.90E-05,-5.10E-05,-1,-48.249954,-3.243232,31.634998,0.068604,-98.923462,-3.605347,81.033737,0.984267,1.834698,-3.099032,82.824394,0.982685,2.241246,-2.908119,-17.278862,0.973972,-98.152298,-3.360431,-20.039268,0.990473,-98.912102,-3.632014,81.017334,1.885847,-3.131318,82.789063,2.178931,-2.844646,-17.185387,-98.15612,-3.36214,-20.07616,,,,,,,,,,,,,,,,,,
3,0.011719,0.000239,9.50E-05,-7.30E-05,-1,-48.263935,-4.386843,31.621504,0.067715,-98.93895,-4.754373,81.018654,0.984608,1.819137,-4.243719,82.812454,0.983336,2.228763,-4.046354,-17.290771,0.97352,-98.16468,-4.502926,-20.05431,0.990821,-98.929008,-4.784162,81.0028,1.868123,-4.270284,82.775276,2.164996,-3.9866,-17.198433,-98.164253,-4.501598,-20.088383,,,,,,,,,,,,,,,,,,
4,0.015625,0.000169,7.80E-05,-0.000133,-1,-48.26823,-5.615086,31.629126,0.066069,-98.941559,-5.995645,81.027908,0.984979,1.816519,-5.473025,82.81842,0.982116,2.222799,-5.261659,-17.284777,0.974184,-98.170677,-5.730018,-20.045042,0.992651,-98.93515,-6.018286,81.007675,1.870138,-5.510902,82.777267,2.165251,-5.198355,-17.19006,-98.176109,-5.729209,-20.073305,,,,,,,,,,,,,,,,,,
5,0.019531,0.000218,3.40E-05,-1.90E-05,-1,-48.252747,-6.472855,31.648088,0.066272,-98.921799,-6.836975,81.051376,0.984746,1.836553,-6.337178,82.832947,0.982447,2.234034,-6.135775,-17.270315,0.975185,-98.15979,-6.58149,-20.021654,0.99135,-98.912643,-6.866808,81.034142,1.888914,-6.366434,82.79718,2.176574,-6.07923,-17.178562,-98.166611,-6.576087,-20.055822,,,,,,,,,,,,,,,,,,
