Format Version,1.22,Take Name,Section1 No1,Capture Frame Rate,256,Export Frame Rate,256,Capture Start Time,2019-12-12 06.16.58.606 ÂçàÂæ?Total Frames in Take,33104,Total Exported Frames,33104,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Glob,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,,,,,,,,,,,,,,,,,,
,,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,C57C0,C57C0,C57C0,C57A0,C57A0,C57A0,C5790,C5790,C5790,C57B0,C57B0,C57B0,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,
0,0,0.000265,4.30E-05,-8.30E-05,-1,-48.202389,-1.591457,31.617126,0.073094,-98.872276,-1.957457,81.019554,0.983423,1.885992,-1.444586,82.802872,0.981685,2.28522,-1.252476,-17.300407,0.971168,-98.10849,-1.711308,-20.053503,0.99063,-98.856422,-1.994242,80.99765,1.939223,-1.474543,82.764122,2.217851,-1.186984,-17.196867,-98.114571,-1.706644,-20.090698,,,,,,,,,,,,,,,,,,
1,0.003906,0.000203,3.30E-05,-8.10E-05,-1,-48.209114,-2.093985,31.615957,0.076494,-98.878075,-2.465875,81.019279,0.982443,1.880214,-1.953711,82.800774,0.97955,2.277583,-1.749174,-17.302473,0.971051,-98.116188,-2.207181,-20.053747,0.990462,-98.868263,-2.494109,80.994865,1.942753,-1.994799,82.761223,2.209616,-1.676737,-17.196289,-98.124466,-2.206754,-20.090265,,,,,,,,,,,,,,,,,,
2,0.007813,0.000172,3.40E-05,-0.000138,-1,-48.21756,-2.622212,31.614155,0.071773,-98.886566,-3.002924,81.017372,0.983786,1.871664,-2.479389,82.799072,0.981027,2.269182,-2.26863,-17.304167,0.971336,-98.124519,-2.737907,-20.055641,0.992078,-98.875046,-3.031844,80.994164,1.926792,-2.517194,82.754814,2.205906,-2.199514,-17.198824,-98.131981,-2.735815,-20.087603,,,,,,,,,,,,,,,,,,
3,0.011719,0.000297,2.10E-05,-5.00E-05,-1,-48.223171,-3.179786,31.61661,0.074066,-98.89093,-3.539202,81.021263,0.982851,1.867436,-3.03292,82.800163,0.980892,2.262335,-2.847345,-17.303135,0.972833,-98.131538,-3.299677,-20.051844,0.989358,-98.877213,-3.573815,81.000648,1.925439,-3.063368,82.767929,2.195707,-2.783316,-17.203714,-98.140465,-3.295758,-20.093456,,,,,,,,,,,,,,,,,,
4,0.015625,0.000221,4.70E-05,-9.50E-05,-1,-48.229191,-3.788549,31.615808,0.074431,-98.899498,-4.160053,81.017761,0.982851,1.858734,-3.645073,82.801987,0.979846,2.258833,-3.444111,-17.301258,0.972217,-98.134842,-3.904959,-20.05526,0.990654,-98.890129,-4.186769,80.995293,1.920029,-3.685813,82.762878,2.194451,-3.374158,-17.197765,-98.144394,-3.904009,-20.091887,,,,,,,,,,,,,,,,,,
5,0.019531,0.000204,4.20E-05,-7.30E-05,-1,-48.232327,-4.385911,31.619259,0.072391,-98.902176,-4.756814,81.021683,0.983414,1.856096,-4.246275,82.80497,0.980476,2.255242,-4.042082,-17.298281,0.97245,-98.138481,-4.498472,-20.051338,0.991269,-98.894402,-4.788725,80.998306,1.916205,-4.281021,82.765724,2.191021,-3.978448,-17.19767,-98.145576,-4.492208,-20.084198,,,,,,,,,,,,,,,,,,
